subject,electrode
717,LGA38
717,LGA39
717,LGA46
717,LGA47
717,LGB113
717,LGB114
717,LGB119
717,LGB120
717,LGB121
717,LGB122
717,LGB126
741,GA45
742,G101
742,G102
742,G103
742,G104
742,G110
742,G111
742,G22
742,G23
742,G30
742,G31
743,G44
743,G45
743,G52
743,G53
763,G23
763,G24
717,LGA36
717,LGA37
717,LGA44
717,LGB112
717,LGB116
717,LGB117
741,GA44
742,G113
742,G119
742,G120
742,G121
742,G125
742,G37
741,GA41
742,G54
742,G55
742,G56
742,G63
798,AIT3
717,LGA10
717,LGA18
717,LGA27
717,LGA9
717,LGB108
717,LGB74
717,LGB75
717,LGB78
717,LGB79
717,LGB80
717,LGB82
717,LGB86
717,LGB87
717,LGB88
717,LGB95
723,LIF3
723,LST1
742,G117
742,G124
742,G128
742,G34
742,G35
742,G43
742,G44
742,G45
742,G53
742,G61
743,G19
798,G17
798,G18
798,G19
798,G20
798,G26
798,G27
798,G77
798,G79
798,G83
798,G84
798,G86
798,G87
798,G88
798,G92
798,G93
798,G94
798,G95
798,G96
